pk,fam,bdg_misfit,censored,y_qbound,borderline,warm,outcome,qbound,final_rms,nit,p_ML,rms10,slope
98557,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.617e-09,13,0.765,8.1551e-07,-0.4117435106243128
98548,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
98661,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
98688,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.617e-09,13,0.765,8.1551e-07,-0.4117435106243128
99736,other-KKR,1,0,0,1,0,STALL,0.008,0.011706,50,0.8471492604617604,0.041131,-0.014056592913782164
99742,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
99794,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.6267e-09,13,0.765,8.1552e-07,-0.4117432201478664
98773,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
98782,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.5924e-09,13,0.765,8.1551e-07,-0.4117435106243128
99546,unknown,1,0,1,0,0,CONVERGED,1e-08,2.3569e-09,30,0.3929166666666667,0.29869,-0.02227606950304252
99617,unknown,1,0,1,0,0,CONVERGED,1e-08,2.3569e-09,30,0.3929166666666667,0.29869,-0.02227606950304252
99907,other-KKR,1,0,0,1,0,STALL,0.008,0.011706,50,0.8471492604617604,0.041131,-0.014056592913782164
99913,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
99922,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.6142e-09,13,0.765,8.1551e-07,-0.4117435106243128
99968,other-KKR,1,0,1,0,0,CONVERGED,1e-08,2.2769e-09,53,0.3929166666666667,0.29868,-0.022277452209907
100106,other-KKR,1,0,0,1,0,STALL,0.008,0.011706,50,0.8471492604617604,0.041131,-0.014056592913782164
100118,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
100136,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.6142e-09,13,0.765,8.1551e-07,-0.4117435106243128
100301,other-KKR,1,0,1,1,0,STALL,0.008,0.0078324,13,0.975,0.0085922,-0.013429079610834217
100310,other-KKR,1,0,1,0,1,CONVERGED,1e-08,1.5734e-09,13,0.765,8.1551e-07,-0.4117435106243128
100342,other-KKR,1,0,,0,0,CONVERGED,,2.3425e-08,30,0.5609166666666667,0.43293,-0.004365986228219522
105850,other-KKR,1,0,0,0,0,DIVERGE,0.008,0.19227,15,0.98,0.2332,-0.016461512984062097
105862,other-KKR,1,0,0,0,0,DIVERGE,0.008,0.11156,15,0.5296523268398269,0.1331,-0.015922659794498997
105876,other-KKR,1,0,,0,0,CONVERGED,,1.2335e-08,30,0.72,0.019543,-0.1749371929166274
105923,other-KKR,1,0,,0,0,DIVERGE,,0.38837,20,0.6084166666666667,0.42943,-0.004365265037502062
105847,other-KKR,1,0,0,0,0,DIVERGE,0.008,0.19227,15,0.98,0.2332,-0.016461512984062097
105859,other-KKR,1,0,0,0,0,DIVERGE,0.008,0.11156,15,0.5296523268398269,0.1331,-0.015922659794498997
105880,other-KKR,1,0,,0,0,CONVERGED,,1.2333e-08,30,0.72,0.019543,-0.1749371929166274
105930,other-KKR,1,0,,0,0,DIVERGE,,0.38837,20,0.6084166666666667,0.42943,-0.004365265037502062
106109,NbSe2-family,1,0,0,1,0,STALL,0.008,0.0092764,50,0.8914682539682539,0.031155,-0.013196615201703876
106102,NbSe2-family,1,0,0,0,0,STALL,0.008,0.042219,50,0.25469359806859804,0.14544,-0.019437606161026025
106130,NbSe2-family,1,0,0,0,1,CONVERGED,1e-08,3.4757e-07,50,0.855,0.00023646,-0.16856666940668064
106139,NbSe2-family,1,0,1,0,1,CONVERGED,1e-08,2.9651e-09,19,0.9025,4.35e-05,-0.16931761202257117
106099,NbSe2-family,1,0,0,0,0,STALL,0.008,0.042219,50,0.25469359806859804,0.14544,-0.019437606161026025
106115,NbSe2-family,1,0,0,1,0,STALL,0.008,0.0092764,50,0.8914682539682539,0.031155,-0.013196615201703876
106154,NbSe2-family,1,0,0,0,1,CONVERGED,1e-08,8.0295e-08,50,0.8575,0.00023609,-0.1682819809940811
106233,NbSe2-family,1,0,0,0,0,DIVERGE,0.008,0.12363,15,0.25469359806859804,0.14544,-0.019437606161026025
106240,NbSe2-family,1,0,0,0,0,STALL,0.008,0.077727,15,0.7801085858585859,0.090625,-0.013459575030266683
106230,NbSe2-family,1,0,0,0,0,DIVERGE,0.008,0.12363,15,0.25469359806859804,0.14544,-0.019437606161026025
106246,NbSe2-family,1,0,0,0,0,STALL,0.008,0.077727,15,0.7801085858585859,0.090625,-0.013459575030266683
106356,NbSe2-family,1,0,0,0,0,DIVERGE,0.008,0.12363,15,0.25469359806859804,0.14544,-0.019437606161026025
106363,NbSe2-family,1,0,0,0,0,STALL,0.008,0.077727,15,0.7801085858585859,0.090625,-0.013459575030266683
106353,NbSe2-family,1,0,0,0,0,DIVERGE,0.008,0.12363,15,0.25469359806859804,0.14544,-0.019437606161026025
106369,NbSe2-family,1,0,0,0,0,STALL,0.008,0.077727,15,0.7801085858585859,0.090625,-0.013459575030266683
106454,NbSe2-family,1,0,0,0,0,DIVERGE,0.008,0.12363,15,0.25469359806859804,0.14544,-0.019437606161026025
106461,NbSe2-family,1,0,0,0,0,STALL,0.008,0.077727,15,0.7801085858585859,0.090625,-0.013459575030266683
106451,NbSe2-family,1,0,0,0,0,DIVERGE,0.008,0.12363,15,0.25469359806859804,0.14544,-0.019437606161026025
106467,NbSe2-family,1,0,0,0,0,STALL,0.008,0.077727,15,0.7801085858585859,0.090625,-0.013459575030266683
106571,NbSe2-family,1,0,0,0,0,DIVERGE,0.008,0.12363,15,0.25469359806859804,0.14544,-0.019437606161026025
106578,NbSe2-family,1,0,0,0,0,STALL,0.008,0.077727,15,0.7801085858585859,0.090625,-0.013459575030266683
106568,NbSe2-family,1,0,0,0,0,DIVERGE,0.008,0.12363,15,0.25469359806859804,0.14544,-0.019437606161026025
106584,NbSe2-family,1,0,0,0,0,STALL,0.008,0.077727,15,0.7801085858585859,0.090625,-0.013459575030266683
107231,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.10728,12,0.5820833333333334,0.11915,-0.027999866139770912
107234,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.10728,12,0.5820833333333334,0.11915,-0.027999866139770912
107243,NbSe2-family,0,0,0,0,0,STALL,0.008,0.057719,12,0.6352559523809524,0.063968,-0.022432253513297983
107246,NbSe2-family,0,0,0,0,0,STALL,0.008,0.057719,12,0.6352559523809524,0.063968,-0.022432253513297983
107261,NbSe2-family,0,0,0,0,0,STALL,0.008,0.03129,12,0.7486488095238095,0.034581,-0.022244674544784425
107264,NbSe2-family,0,0,0,0,0,STALL,0.008,0.03129,12,0.7486488095238095,0.034581,-0.022244674544784425
107211,NbSe2-family,0,0,0,0,0,STALL,0.008,0.042219,50,0.25469359806859804,0.14544,-0.019437606161026025
107276,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.3416,12,0.46613095238095226,0.41108,0.1530364590421061
107279,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.3416,12,0.46613095238095226,0.41108,0.1530364590421061
107297,NbSe2-family,0,0,0,1,0,STALL,0.008,0.012199,12,0.665,0.012841,-0.09837050024016522
107286,NbSe2-family,0,0,0,1,0,STALL,0.008,0.0092764,50,0.8914682539682539,0.031155,-0.013196615201703876
107319,NbSe2-family,0,0,0,0,1,CONVERGED,1e-05,0.00037341,50,0.8575,0.0012958,-0.09702413425836287
107325,NbSe2-family,0,0,1,1,1,CONVERGED,1e-05,4.0626e-06,27,0.9175,0.00087358,0.012953916403889014
107360,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.10728,12,0.6125,0.11915,-0.027999866139770912
107366,NbSe2-family,0,0,0,0,0,STALL,0.008,0.057719,12,0.6415059523809525,0.063968,-0.022432253513297983
107372,NbSe2-family,0,0,0,0,0,STALL,0.008,0.03129,12,0.7519821428571428,0.034581,-0.022244674544784425
107378,NbSe2-family,0,0,0,0,0,DIVERGE,0.008,0.3416,12,0.4923809523809522,0.41108,0.1530364590421061
